price,sqft_m2,link,rooms,address
400,,http://idealista.com/inmueble/27304276/,,"Piso en calle del Talgo, San Crispín - La Estación Consorcio, Colmenar Viejo"
399,,http://idealista.com/inmueble/27292554/,,"Piso en calle del Talgo, San Crispín - La Estación Consorcio, Colmenar Viejo"
3500,,http://idealista.com/inmueble/28504449/,,"Casa o chalet independiente en calle Retamar, Fuente del Fresno"
2900,,http://idealista.com/inmueble/28347960/,,"Casa o chalet independiente en calle Zaragoza, Fuente el Saz de Jarama"
1100,,http://idealista.com/inmueble/27244603/,,"Piso en avenida de la Ermita, Arroyo de la Vega, La Moraleja"
5500,,http://idealista.com/inmueble/26834490/,,"Casa o chalet independiente en calle Vereda de las Peñas, La Moraleja"
900,,http://idealista.com/inmueble/31286270/,,"Casa o chalet independiente en avenida comunidad de madrid, 9, Valdepiélagos"
1100,,http://idealista.com/inmueble/31276312/,,"Piso en calle de palestina, 17, Norte, Alcobendas"
390,,http://idealista.com/inmueble/30078920/,,"Dúplex en calle de San Javier, 4, El Molar"
600,,http://idealista.com/inmueble/31268877/,,"Chalet adosado en calle salamanca, 21, Torrelaguna"
1250,,http://idealista.com/inmueble/31262731/,,"Piso en avenida ramón y cajal, 8, Vega de la Moraleja, San Sebastián de los Reyes"
700,,http://idealista.com/inmueble/28722201/,,"Piso en alto del Socorro, 1, Centro Urbano, San Sebastián de los Reyes"
2200,,http://idealista.com/inmueble/31261820/,,"Chalet pareado en calle de la azalea, El Soto de la Moraleja, La Moraleja"
600,,http://idealista.com/inmueble/31260160/,,"Piso en Alcobendas Centro, Alcobendas"
725,,http://idealista.com/inmueble/31253552/,,"Estudio en calle maría curie, 32, Vega de la Moraleja, San Sebastián de los Reyes"
370,,http://idealista.com/inmueble/31249877/,,"Ático en calle angostura, 2, Pedrezuela"
850,,http://idealista.com/inmueble/31222762/,,"Piso en Sector Islas, Segunda Fase, Tres Cantos"
3300,,http://idealista.com/inmueble/31215438/,,"Chalet pareado en Encinar de los Reyes, La Moraleja"
1400,,http://idealista.com/inmueble/30890933/,,"Chalet adosado en Segunda Fase, Tres Cantos"
850,,http://idealista.com/inmueble/29348534/,,"Piso en calle de Santiago García el Tranquilo, 2, San Crispín - La Estación Consorcio, Colmenar Viejo"
2400,,http://idealista.com/inmueble/31275703/,,"Piso en El Soto de la Moraleja, La Moraleja"
2400,,http://idealista.com/inmueble/31275421/,,"Piso en El Soto de la Moraleja, La Moraleja"
5500,,http://idealista.com/inmueble/31274942/,,"Chalet adosado en Encinar de los Reyes, La Moraleja"
1500,,http://idealista.com/inmueble/31268204/,,"Estudio en Alcobendas Centro, Alcobendas"
3900,,http://idealista.com/inmueble/27973264/,,"Ático en Encinar de los Reyes, La Moraleja"
3500,,http://idealista.com/inmueble/31257604/,,"Chalet adosado en Encinar de los Reyes, La Moraleja"
950,,http://idealista.com/inmueble/31228699/,,"Chalet adosado en calle velázquez, 29, Miramadrid, Paracuellos de Jarama"
630,,http://idealista.com/inmueble/31206445/,,"Piso en calle del pilar, 7, Centro Urbano, San Sebastián de los Reyes"
